Date,Thermal Generation Estimated (in MU),Thermal Generation Actual (in MU)
2019-09-12,2675.96,3065.44
2019-09-13,2634.2599999999998,3068.66
2019-09-14,2674.84,3080.54
2019-09-15,2588.93,3073.38
2019-09-16,2656.1,3093.23
2019-09-17,2726.1400000000003,3093.23
2019-09-18,2723.31,3093.23
2019-09-19,2716.2,3095.73
2019-09-20,2774.03,3109.3
2019-09-21,2788.56,3139.3
2019-09-22,2589.43,3157.08
2019-09-23,2740.58,3157.08
2019-09-24,2726.5,3162.2200000000003
2019-09-25,2617.99,3159.1400000000003
2019-09-26,2522.96,3168.94
2019-09-27,2433.99,3174.19
2019-09-28,2319.47,3184.7900000000004
2019-09-29,2111.62,3187.09
2019-09-30,2235.17,3195.09
2019-10-01,2344.12,3197.11
2019-10-02,2341.33,3200.1800000000003
2019-10-03,2530.13,3200.1800000000003
2019-10-04,2600.98,3203.9700000000003
2019-10-05,2663.97,3200.4700000000003
2019-10-06,2561.03,3208.57
2019-10-07,2564.59,3208.57
2019-10-08,2376.46,3208.57
2019-10-09,2512.73,3206.3
2019-10-10,2655.96,3206.3
2019-10-11,2707.7,3223.2200000000003
2019-10-12,2738.04,3223.2200000000003
2019-10-13,2656.3,3223.2200000000003
2019-10-14,2771.88,3226.0
2019-10-15,2831.89,3221.5
2019-10-16,2868.23,3228.63
2019-10-17,2847.53,3228.63
2019-10-18,2799.81,3228.63
2019-10-19,2752.9500000000003,3231.28
2019-10-20,2616.26,3229.21
2019-10-21,2578.5,3230.21
2019-10-22,2593.18,3233.25
2019-10-23,2564.14,3229.43
2019-10-24,2482.9,3229.43
2019-10-25,2415.52,3229.36
2019-10-26,2273.81,3219.56
2019-10-27,2152.8,3222.36
2019-10-28,2082.46,3225.0099999999998
2019-10-29,2194.67,3224.31
2019-10-30,2273.33,3224.31
2019-10-31,2351.89,3224.31
2019-11-01,2420.39,3077.84
2019-11-02,2480.68,3077.84
2019-11-03,2409.85,3077.9500000000003
2019-11-04,2554.2000000000003,3068.6600000000003
2019-11-05,2645.4,3066.1
2019-11-06,2712.7400000000002,3068.06
2019-11-07,2622.02,3059.23
2019-11-08,2528.24,3063.62
2019-11-09,2483.39,3067.8
2019-11-10,2446.37,3023.61
2019-11-11,2618.08,3023.61
2019-11-12,2672.2000000000003,3018.92
2019-11-13,2717.8,3018.92
2019-11-14,2719.12,3018.92
2019-11-15,2728.89,3025.39
2019-11-16,2712.97,3019.86
2019-11-17,2577.08,3022.42
2019-11-18,2731.46,3020.34
2019-11-19,2794.72,3024.5499999999997
2019-11-20,2791.63,3028.19
2019-11-21,2773.29,3028.19
2019-11-22,2794.71,3028.94
2019-11-23,2712.5099999999998,3040.57
2019-11-24,2627.03,3036.8599999999997
2019-11-25,2727.4900000000002,3033.1099999999997
2019-11-26,2739.7,3050.51
2019-11-27,2700.4700000000003,3046.51
2019-11-28,2654.25,3046.51
2019-11-29,2672.33,3050.37
2019-11-30,2661.16,3046.16
2019-12-01,2565.16,3018.93
2019-12-02,2615.53,3013.4100000000003
2019-12-03,2641.13,3011.4300000000003
2019-12-04,2652.91,3016.11
2019-12-05,2681.21,3025.8900000000003
2019-12-06,2700.42,3044.77
2019-12-07,2638.23,3044.77
2019-12-08,2557.83,3044.77
2019-12-09,2716.16,3047.0699999999997
2019-12-10,2811.57,3042.46
2019-12-11,2901.48,3035.46
2019-12-12,2849.5,3048.36
2019-12-13,2659.4700000000003,3056.78
2019-12-14,2702.01,3045.36
2019-12-15,2563.83,3057.02
2019-12-16,2622.14,3082.78
2019-12-17,2684.18,3082.78
2019-12-18,2779.89,3086.9300000000003
2019-12-19,2855.5,3110.54
2019-12-20,2951.38,3096.31
2019-12-21,2874.4500000000003,3107.28
2019-12-22,2743.98,3107.28
2019-12-23,2862.32,3103.33
2019-12-24,2939.07,3103.33
2019-12-25,2929.75,3099.04
2019-12-26,2991.28,3122.71
2019-12-27,2969.16,3136.67
2019-12-28,2918.34,3137.5
2019-12-29,2831.34,3137.5
2019-12-30,2928.49,3137.5
2019-12-31,2981.3599999999997,3166.5699999999997
2020-01-01,2878.01,3119.66
2020-01-02,2913.21,3119.7
2020-01-03,2945.18,3120.03
2020-01-04,2946.0099999999998,3115.4900000000002
2020-01-05,2833.2799999999997,3147.9700000000003
2020-01-06,2876.33,3142.4100000000003
2020-01-07,2934.0,3142.4100000000003
2020-01-08,2936.0099999999998,3144.9500000000003
2020-01-09,2882.88,3148.86
2020-01-10,2875.74,3147.82
2020-01-11,2926.62,3147.82
2020-01-12,2921.56,3148.11
2020-01-13,2972.75,3148.11
2020-01-14,2920.73,3153.12
2020-01-15,2810.37,3136.46
2020-01-16,2764.0699999999997,3141.0499999999997
2020-01-17,2880.71,3141.83
2020-01-18,2909.7999999999997,3141.83
2020-01-19,2781.02,3151.88
2020-01-20,2933.13,3147.83
2020-01-21,2975.21,3147.9700000000003
2020-01-22,2877.8999999999996,3163.87
2020-01-23,2900.39,3159.69
2020-01-24,2993.3,3159.69
2020-01-25,3052.98,3156.31
2020-01-26,2889.55,3163.44
2020-01-27,2986.34,3163.44
2020-01-28,3033.95,3163.44
2020-01-29,3057.7599999999998,3173.11
2020-01-30,3045.28,3173.56
2020-01-31,3061.69,3189.56
2020-02-01,3003.89,3129.4
2020-02-02,2879.4799999999996,3129.4
2020-02-03,3005.05,3140.47
2020-02-04,3098.94,3135.37
2020-02-05,3105.68,3125.12
2020-02-06,3107.26,3125.12
2020-02-07,3122.6699999999996,3127.68
2020-02-08,3056.13,3131.02
2020-02-09,2922.31,3131.02
2020-02-10,3013.73,3131.02
2020-02-11,3056.6699999999996,3131.02
2020-02-12,3093.2999999999997,3131.02
2020-02-13,3186.6299999999997,3131.02
2020-02-14,3194.27,3131.0699999999997
2020-02-15,3208.6,3123.9799999999996
2020-02-16,3075.2999999999997,3132.12
2020-02-17,3143.0600000000004,3132.12
2020-02-18,3230.62,3133.6899999999996
2020-02-19,3214.0,3127.58
2020-02-20,3130.69,3134.8
2020-02-21,3023.73,3146.4900000000002
2020-02-22,3034.39,3145.9500000000003
2020-02-23,2967.2,3145.9500000000003
2020-02-24,3091.5,3145.9500000000003
2020-02-25,3128.85,3145.9500000000003
2020-02-26,3126.3300000000004,3146.9500000000003
2020-02-27,3075.9,3149.52
2020-02-28,3084.84,3149.52
2020-02-29,3046.81,3180.9700000000003
2020-03-01,2881.74,3210.44
2020-03-02,3051.21,3214.55
2020-03-03,3072.83,3213.55
2020-03-04,3020.13,3213.55
2020-03-05,2947.4700000000003,3217.59
2020-03-06,2873.74,3217.59
2020-03-07,2946.72,3221.4700000000003
2020-03-08,2862.3,3227.03
2020-03-09,2831.22,3227.03
2020-03-10,2523.37,3227.03
2020-03-11,2629.1299999999997,3206.33
2020-03-12,2790.7400000000002,3194.95
2020-03-13,2867.95,3195.95
2020-03-14,2838.27,3193.0299999999997
2020-03-15,2712.8,3179.11
2020-03-16,2848.42,3182.17
2020-03-17,2965.5499999999997,3182.17
2020-06-01,2481.93,3399.86
2020-06-02,2467.5099999999998,3399.86
2020-06-03,2399.05,3400.11
2020-06-04,2339.63,3400.11
2020-06-05,2269.43,3394.68
2020-06-06,2306.44,3403.0
2020-06-07,2291.5299999999997,3403.0
2020-06-08,2439.24,3405.91
2020-06-09,2587.48,3399.55
2020-06-10,2684.47,3356.15
2020-06-11,2654.15,3352.35
2020-06-12,2650.69,3352.34
2020-06-13,2610.1,3339.7400000000002
2020-06-14,2547.62,3337.68
2020-06-15,2624.0,3332.26
2020-06-16,2658.8199999999997,3337.8
2020-06-17,2633.56,3347.2400000000002
2020-06-18,2639.26,3347.2400000000002
2020-06-19,2605.7999999999997,3347.2400000000002
2020-06-20,2590.52,3304.7200000000003
2020-06-21,2495.9500000000003,3316.6000000000004
2020-06-22,2572.33,3323.07
2020-06-23,2698.11,3323.07
2020-06-24,2750.84,3322.39
2020-06-25,2754.2200000000003,3320.54
2020-06-26,2737.56,3322.77
2020-06-27,2728.53,3322.77
2020-06-28,2652.3399999999997,3327.34
2020-06-29,2759.63,3322.98
2020-06-30,2837.27,3352.88
2020-07-01,2881.89,2968.62
2020-07-02,2897.08,2970.85
2020-07-03,2857.29,2969.85
2020-07-04,2729.23,2966.7200000000003
2020-07-05,2409.52,2972.37
2020-07-06,2522.7200000000003,2964.27
2020-07-07,2568.54,2950.5099999999998
2020-07-08,2618.05,2944.3
2020-07-09,2716.08,2942.7799999999997
2020-07-10,2701.58,2924.31
2020-07-11,2586.7200000000003,2946.32
2020-07-12,2377.35,2945.15
2020-07-13,2684.2599999999998,2945.15
2020-07-14,2834.49,2961.27
2020-07-15,2846.53,2942.84
2020-07-16,2816.29,2937.15
2020-07-17,2861.8900000000003,2933.39
2020-07-18,2939.33,2931.87
2020-07-19,2778.9,2936.19
2020-07-20,2671.38,2939.45
2020-07-21,2565.01,2958.7799999999997
2020-07-22,2733.94,2956.4
2020-07-23,2796.9300000000003,2957.64
2020-07-24,2857.65,2961.31
2020-07-25,2850.97,2927.25
2020-07-26,2795.17,2949.2900000000004
2020-07-27,2939.11,2962.69
2020-07-28,2986.04,2961.63
2020-07-29,2918.86,2961.63
2020-07-30,2883.88,2974.36
2020-07-31,2943.11,2984.0
2020-08-01,2860.43,2797.41
