Date,Thermal Generation Estimated (in MU),Thermal Generation Actual (in MU)
2018-01-29,2941.21,2905.1499999999996
2018-01-30,2931.14,2905.1499999999996
2018-01-31,2943.42,2909.1499999999996
2018-02-01,2950.4900000000002,2918.9
2018-02-02,2966.86,2918.9
2018-02-03,2930.1,2920.21
2018-02-04,2819.3599999999997,2920.21
2018-02-05,2916.94,2920.21
2018-02-06,2995.72,2926.9
2018-02-07,3016.2000000000003,2926.9
2018-02-08,3002.81,2926.9
2018-02-09,3023.2100000000005,2945.5
2018-02-10,2996.3100000000004,2945.5
2018-02-11,2809.75,2942.1
2018-02-12,2790.07,2939.6
2018-02-13,2824.1400000000003,2939.6
2018-02-14,2801.94,2939.6
2018-02-15,2844.27,2946.2
2018-02-16,2950.06,2949.05
2018-02-17,2959.35,2949.05
2018-02-18,2884.69,2956.05
2018-02-19,2932.9,2965.85
2018-02-20,3015.84,2960.69
2018-02-21,3031.1,2970.69
2018-02-22,3057.31,2975.11
2018-02-23,3048.53,2976.51
2018-02-24,2985.21,2976.51
2018-02-25,2903.6200000000003,2975.84
2018-02-26,2996.75,2975.2000000000003
2018-02-27,3043.48,2979.7000000000003
2018-02-28,3093.38,2986.2000000000003
2018-03-01,3073.39,2997.96
2018-03-02,2800.23,2997.96
2018-03-03,2824.22,2999.83
2018-03-04,2919.9300000000003,2999.83
2018-03-05,2993.6800000000003,2995.08
2018-03-06,3042.67,2994.43
2018-03-07,3058.19,2991.15
2018-03-08,3080.57,2990.5
2018-03-09,3067.97,2990.5
2018-03-10,3072.9,2990.5
2018-03-11,3026.82,2993.65
2018-03-12,3091.64,2994.35
2018-03-13,3103.5,2987.45
2018-03-14,3081.56,2977.3
2018-03-15,3121.3,2976.69
2018-03-16,3097.72,2976.04
2018-03-17,2977.5299999999997,2976.69
2018-03-18,2940.85,2976.69
2018-03-19,3029.8300000000004,2977.34
2018-03-20,3073.4900000000002,2977.99
2018-03-21,3054.68,2981.97
2018-03-22,3103.8999999999996,2985.82
2018-03-23,3139.13,2985.82
2018-03-24,3140.68,2985.82
2018-03-25,3048.48,2985.82
2018-03-26,3152.4500000000003,2989.92
2018-03-27,3185.83,2990.57
2018-03-28,3234.74,2990.57
2018-03-29,3251.46,2991.2200000000003
2018-03-30,3174.62,2991.87
2018-03-31,3045.4700000000003,2994.4
2018-04-01,2924.47,3041.17
2018-04-02,2972.21,3041.17
2018-04-03,3109.34,3065.68
2018-04-04,3152.83,3065.68
2018-04-05,3146.12,3005.19
2018-04-06,3133.89,3010.58
2018-04-07,3027.87,3010.58
2018-04-08,2887.02,3010.58
2018-04-09,2974.52,3010.58
2018-04-10,3040.0299999999997,3004.82
2018-04-11,3004.5499999999997,3007.1800000000003
2018-04-12,2979.7599999999998,3004.6800000000003
2018-04-13,3044.93,3001.9
2018-04-14,3047.73,2994.99
2018-04-15,2997.5800000000004,3001.97
2018-04-16,3153.2,2990.57
2018-04-17,3186.03,2985.94
2018-04-18,3150.02,2983.7
2018-04-19,3191.52,2983.7
2018-04-20,3098.97,2988.98
2018-04-21,3170.8,2994.3
2018-04-22,3057.71,2994.3
2018-04-23,3179.5,2994.3
2018-04-24,3182.8,2993.21
2018-04-25,3185.8,2993.21
2018-04-26,3184.92,2998.6099999999997
2018-04-27,3214.5,2998.6099999999997
2018-04-28,3203.81,2997.9399999999996
2018-04-29,3041.0,3000.4399999999996
2018-04-30,2979.77,3007.5699999999997
2018-05-01,2879.57,2976.87
2018-05-02,2917.73,2976.19
2018-05-03,2798.34,2977.36
2018-05-04,2987.55,2977.36
2018-05-05,3113.2400000000002,2977.41
2018-05-06,3010.3,2981.49
2018-05-07,3080.5499999999997,2981.49
2018-05-08,3032.36,2981.49
2018-05-09,3082.05,2985.07
2018-05-10,3143.67,2987.87
2018-05-11,3174.41,2992.3900000000003
2018-05-12,3091.01,2992.3900000000003
2018-05-13,2953.3,2992.3900000000003
2018-05-14,2868.4,2992.3900000000003
2018-05-15,3099.7599999999998,2986.1200000000003
2018-05-16,3122.08,3006.25
2018-05-17,3166.68,3006.25
2018-05-18,3155.91,3008.46
2018-05-19,3157.0,3010.44
2018-05-20,3055.62,3017.96
2018-05-21,3205.62,3015.4100000000003
2018-05-22,3332.06,3014.2000000000003
2018-05-23,3324.57,3014.57
2018-05-24,3287.72,3009.96
2018-05-25,3241.06,2992.71
2018-05-26,3232.6299999999997,2997.88
2018-05-27,3181.65,3002.48
2018-05-28,3258.9900000000002,3004.1
2018-05-29,3177.11,3004.1
2018-05-30,3208.0299999999997,3004.96
2018-05-31,3239.41,3004.96
2018-06-01,3115.67,2906.63
2018-06-02,3014.61,2904.27
2018-06-03,2879.25,2904.27
2018-06-04,3037.8199999999997,2907.98
2018-06-05,3069.13,2907.98
2018-06-06,2959.95,2921.98
2018-06-07,2944.63,2929.69
2018-06-08,2779.59,2929.69
2018-06-09,2465.49,2936.69
2018-06-10,2417.5899999999997,2945.0
2018-06-11,2660.57,2940.9
2018-06-12,2711.79,2932.27
2018-06-13,2654.4,2923.1899999999996
2018-06-14,2688.55,2923.1899999999996
2018-06-15,2846.26,2902.82
2018-06-16,2806.43,2891.2200000000003
2018-06-17,2603.37,2891.2200000000003
2018-06-18,2823.67,2893.91
2018-06-19,2972.51,2894.05
2018-06-20,3097.85,2890.9300000000003
2018-06-21,3150.65,2882.9300000000003
2018-06-22,3182.0,2883.1699999999996
2018-06-23,3139.76,2869.5299999999997
2018-06-24,2947.01,2873.35
2018-06-25,3019.18,2861.42
2018-06-26,2892.54,2875.7400000000002
2018-06-27,2815.0,2891.79
2018-06-28,2659.06,2891.79
2018-06-29,2746.32,2887.6800000000003
2018-06-30,2859.18,2887.6800000000003
2018-07-01,2777.3799999999997,2769.2599999999998
2018-07-02,2742.31,2769.0699999999997
2018-07-03,2635.1200000000003,2763.41
2018-07-04,2594.3199999999997,2760.08
2018-07-05,2774.75,2746.83
2018-07-06,2872.6600000000003,2763.29
2018-07-07,2920.7,2750.29
2018-07-08,2914.8599999999997,2771.82
2018-07-09,2886.29,2778.0099999999998
2018-07-10,2895.11,2751.2200000000003
2018-07-11,2784.97,2760.65
2018-07-12,2760.85,2761.3
2018-07-13,2666.74,2764.25
2018-07-14,2627.59,2764.25
2018-07-15,2564.3199999999997,2753.48
2018-07-16,2628.33,2775.18
2018-07-17,2632.5099999999998,2777.9100000000003
2018-07-18,2714.13,2788.12
2018-07-19,2739.2400000000002,2788.12
2018-07-20,2717.4,2801.9900000000002
2018-07-21,2543.96,2798.0099999999998
2018-07-22,2338.2,2817.66
2018-07-23,2506.9,2825.2599999999998
2018-07-24,2605.34,2786.17
2018-07-25,2534.2000000000003,2790.46
2018-07-26,2357.51,2822.21
2018-07-27,2378.56,2822.21
2018-07-28,2448.5099999999998,2811.91
2018-07-29,2436.36,2815.9
2018-07-30,2613.16,2822.1200000000003
2018-07-31,2648.4700000000003,2848.92
2018-08-01,2672.8,2847.09
2018-08-02,2736.37,2858.4100000000003
2018-08-03,2795.61,2861.35
2018-08-04,2823.9300000000003,2861.28
2018-08-05,2720.27,2854.42
2018-08-06,2735.3300000000004,2861.5800000000004
2018-08-07,2823.3700000000003,2850.5600000000004
2018-08-08,2858.23,2849.6800000000003
2018-08-09,2904.4500000000003,2859.94
2018-08-10,2929.7000000000003,2839.76
2018-08-11,2781.7,2855.76
2018-08-12,2565.89,2856.61
2018-08-13,2687.22,2857.4900000000002
2018-08-14,2792.85,2860.7200000000003
