,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2017-09-01,567.2300739799999,52.4208541941637,996.7007042993364,567.2300739799999,567.2300739799999,-18.700933758933004,-18.700933758933004,-18.700933758933004,-2.1760014171189077,-2.1760014171189077,-2.1760014171189077,-16.524932341814097,-16.524932341814097,-16.524932341814097,0.0,0.0,0.0,548.5291402210669
1,2017-09-02,567.3061994354864,88.1240622838838,1033.7094168280134,567.3061994354864,567.3061994354864,-15.773941125305024,-15.773941125305024,-15.773941125305024,-0.3949570594039136,-0.3949570594039136,-0.3949570594039136,-15.37898406590111,-15.37898406590111,-15.37898406590111,0.0,0.0,0.0,551.5322583101814
2,2017-09-03,567.3823248909728,98.35030680739334,1029.4457426723113,567.3823248909728,567.3823248909728,-13.99293474713729,-13.99293474713729,-13.99293474713729,0.31350653140212154,0.31350653140212154,0.31350653140212154,-14.306441278539411,-14.306441278539411,-14.306441278539411,0.0,0.0,0.0,553.3893901438355
3,2017-09-04,567.4584503464591,61.731299426517744,1119.2266630132224,567.4584503464591,567.4584503464591,-12.758217121759769,-12.758217121759769,-12.758217121759769,0.5594788792426401,0.5594788792426401,0.5594788792426401,-13.317696001002409,-13.317696001002409,-13.317696001002409,0.0,0.0,0.0,554.7002332246993
4,2017-09-05,567.5345758019455,59.22927937087885,1043.6099305294601,567.5345758019455,567.5345758019455,-11.665172975327819,-11.665172975327819,-11.665172975327819,0.7554058947806677,0.7554058947806677,0.7554058947806677,-12.420578870108487,-12.420578870108487,-12.420578870108487,0.0,0.0,0.0,555.8694028266177
5,2017-09-06,567.6107012574319,81.22515821672712,1042.69712455927,567.6107012574319,567.6107012574319,-11.28174916909074,-11.28174916909074,-11.28174916909074,0.338366227640704,0.338366227640704,0.338366227640704,-11.620115396731444,-11.620115396731444,-11.620115396731444,0.0,0.0,0.0,556.3289520883411
6,2017-09-07,567.6868267129183,68.1225765812237,1031.7495497108605,567.6868267129183,567.6868267129183,-10.314165832288449,-10.314165832288449,-10.314165832288449,0.6042009434620444,0.6042009434620444,0.6042009434620444,-10.918366775750494,-10.918366775750494,-10.918366775750494,0.0,0.0,0.0,557.3726608806298
7,2017-09-08,567.7629521684047,65.11890793004248,1045.2689667432658,567.7629521684047,567.7629521684047,-12.49036117183338,-12.49036117183338,-12.49036117183338,-2.176001417119095,-2.176001417119095,-2.176001417119095,-10.314359754714282,-10.314359754714282,-10.314359754714282,0.0,0.0,0.0,555.2725909965714
8,2017-09-09,567.8390776238911,104.09132116408152,1030.350173226558,567.8390776238911,567.8390776238911,-10.199064525136192,-10.199064525136192,-10.199064525136192,-0.3949570594002769,-0.3949570594002769,-0.3949570594002769,-9.804107465735916,-9.804107465735916,-9.804107465735916,0.0,0.0,0.0,557.6400130987548
9,2017-09-10,567.9152030793774,82.03870155898913,1033.5353873351828,567.9152030793774,567.9152030793774,-9.067213951845261,-9.067213951845261,-9.067213951845261,0.313506531397624,0.313506531397624,0.313506531397624,-9.380720483242886,-9.380720483242886,-9.380720483242886,0.0,0.0,0.0,558.8479891275322
10,2017-09-11,567.9913285348638,85.52687516206447,1055.3648188409345,567.9913285348638,567.9913285348638,-8.475125885916324,-8.475125885916324,-8.475125885916324,0.559478879242152,0.559478879242152,0.559478879242152,-9.034604765158477,-9.034604765158477,-9.034604765158477,0.0,0.0,0.0,559.5162026489475
11,2017-09-12,568.0674539903503,91.27896641932658,1021.3401259424959,568.0674539903503,568.0674539903503,-7.998334746434482,-7.998334746434482,-7.998334746434482,0.7554058947776324,0.7554058947776324,0.7554058947776324,-8.753740641212115,-8.753740641212115,-8.753740641212115,0.0,0.0,0.0,560.0691192439158
12,2017-09-13,568.1435794458366,78.54648985782218,1076.4982272559191,568.1435794458366,568.1435794458366,-8.18566847189572,-8.18566847189572,-8.18566847189572,0.3383662276429412,0.3383662276429412,0.3383662276429412,-8.52403469953866,-8.52403469953866,-8.52403469953866,0.0,0.0,0.0,559.9579109739409
13,2017-09-14,568.219704901323,81.21900509772908,1070.18507989941,568.219704901323,568.219704901323,-7.725533413358677,-7.725533413358677,-7.725533413358677,0.6042009434609815,0.6042009434609815,0.6042009434609815,-8.329734356819657,-8.329734356819657,-8.329734356819657,0.0,0.0,0.0,560.4941714879643
14,2017-09-15,568.2958303568093,70.11011532562537,1032.4299012199517,568.2958303568093,568.2958303568093,-10.32989455184325,-10.32989455184325,-10.32989455184325,-2.17600141712054,-2.17600141712054,-2.17600141712054,-8.15389313472271,-8.15389313472271,-8.15389313472271,0.0,0.0,0.0,557.9659358049661
15,2017-09-16,568.3719558122957,70.87993200682637,1069.001369379509,568.3719558122957,568.3719558122957,-8.373830314515127,-8.373830314515127,-8.373830314515127,-0.3949570594095407,-0.3949570594095407,-0.3949570594095407,-7.9788732551055865,-7.9788732551055865,-7.9788732551055865,0.0,0.0,0.0,559.9981254977806
16,2017-09-17,568.4480812677821,88.76873705213507,1030.768118629051,568.4480812677821,568.4480812677821,-7.473364614471309,-7.473364614471309,-7.473364614471309,0.31350653140368573,0.31350653140368573,0.31350653140368573,-7.786871145874994,-7.786871145874994,-7.786871145874994,0.0,0.0,0.0,560.9747166533108
17,2017-09-18,568.5242067232685,63.901268913682586,1052.7306613967755,568.5242067232685,568.5242067232685,-7.0009719658163485,-7.0009719658163485,-7.0009719658163485,0.5594788792406997,0.5594788792406997,0.5594788792406997,-7.560450845057049,-7.560450845057049,-7.560450845057049,0.0,0.0,0.0,561.5232347574522
18,2017-09-19,568.6003321787549,40.519850348996684,1044.9604106515992,568.6003321787549,568.6003321787549,-6.527664222343618,-6.527664222343618,-6.527664222343618,0.7554058947788787,0.7554058947788787,0.7554058947788787,-7.283070117122496,-7.283070117122496,-7.283070117122496,0.0,0.0,0.0,562.0726679564112
19,2017-09-20,568.6764576342413,87.68207508356215,1068.392036262824,568.6764576342413,568.6764576342413,-6.601218126949397,-6.601218126949397,-6.601218126949397,0.3383662276423049,0.3383662276423049,0.3383662276423049,-6.939584354591702,-6.939584354591702,-6.939584354591702,0.0,0.0,0.0,562.0752395072918
20,2017-09-21,568.7525830897276,81.37809662485077,1012.933989605644,568.7525830897276,568.7525830897276,-5.912513075984844,-5.912513075984844,-5.912513075984844,0.6042009434625111,0.6042009434625111,0.6042009434625111,-6.516714019447355,-6.516714019447355,-6.516714019447355,0.0,0.0,0.0,562.8400700137428
21,2017-09-22,568.8287085452141,65.09285235934654,1053.777431890576,568.8287085452141,568.8287085452141,-8.179463877202583,-8.179463877202583,-8.179463877202583,-2.1760014171194233,-2.1760014171194233,-2.1760014171194233,-6.00346246008316,-6.00346246008316,-6.00346246008316,0.0,0.0,0.0,560.6492446680115
22,2017-09-23,568.9048340007005,80.66849896725188,1051.7265569838628,568.9048340007005,568.9048340007005,-5.786429446756173,-5.786429446756173,-5.786429446756173,-0.39495705940590364,-0.39495705940590364,-0.39495705940590364,-5.39147238735027,-5.39147238735027,-5.39147238735027,0.0,0.0,0.0,563.1184045539443
23,2017-09-24,568.9809594561868,98.51035976550146,1023.4471735024697,568.9809594561868,568.9809594561868,-4.361804532082859,-4.361804532082859,-4.361804532082859,0.3135065314008627,0.3135065314008627,0.3135065314008627,-4.675311063483721,-4.675311063483721,-4.675311063483721,0.0,0.0,0.0,564.619154924104
24,2017-09-25,569.0570849116732,100.57525840682378,1072.768295254855,569.0570849116732,569.0570849116732,-3.2931974187951507,-3.2931974187951507,-3.2931974187951507,0.5594788792392476,0.5594788792392476,0.5594788792392476,-3.8526762980343983,-3.8526762980343983,-3.8526762980343983,0.0,0.0,0.0,565.7638874928781
25,2017-09-26,569.1332103671596,52.415615463144654,1028.2800440389487,569.1332103671596,569.1332103671596,-2.169111700341767,-2.169111700341767,-2.169111700341767,0.7554058947758434,0.7554058947758434,0.7554058947758434,-2.9245175951176106,-2.9245175951176106,-2.9245175951176106,0.0,0.0,0.0,566.9640986668178
